Номер;КОЛ-ВО;Обзорное описание изданий;Примечания
коробки;экз. в коробке;(Название, год и номера или подшивки);
;;"Кривое зеркало. 1910. № 1-26; 27-52.";
;;"Критическая масса. 2004. № 1; 2; 3; 4 (два экземпляра).";
;;Критическая масса. 2005. № 1.;
;;Критическая масса. 2006. № 2.;
;;"Кукарт. 1992. № 1; 2 (два экземпляра); 3 (два экземпляра); 4.";
;;Кукарт. 1993. № 4.;
;;Кукарт. 1994. № 5.;
;;Кукарт. 1997. № 6 (три экземпляра).;
;;Кукарт. 2000. № 7.;
;;Кукарт. 2003. № 8.;
;;Кукарт. 2004. № 9.;
;;Кукарт. 2005-2006. № 10/11.;
;;"Кукольный мастер. 2003-2004. № 1; 2; 3.";
;;"Кукольный мастер. 2011. № 3; 4.";
;;"Кукольный мастер. 2012. № 2; 3; 4.";
;;Кукольный мастер. 2013. № 2.;
6669;69;"Кукольный мастер. 2013. № 3; 4.";Григорьева Ю.И., Рейтблат А.И.
;;"Кукольный мастер. 2014. № 1; 2; 3; 4.";04.07.2023
;;"Кукольный мастер. 2015. № 1; 2; 3; 4.";
;;"Кукольный мастер. 2016. № 1; 2; 3; 4.";
;;"Кукольный мастер. 2017. № 1; 2; 3.";
;;Кукольный мастер. 2018. № 1.;
;;"Куклы в народных костюмах. 2012. № 4; 5.";
;;"Кулисы. 1917. № 1-3, 6-25, 28/29; 5; 2-5, 7-17, 22; 16; 3, 13-16, 28/29.";
;;Культпоход. 2005. № 1.;
;;"Культпоход. 2006. № 3; 7; 8/9; 10; 11; 12.";
;;"Культпоход. 2007. № 1/2; 3; 4; 5; 6; 7/8; 9; 10; 12.";
;;"Культпоход. 2008. № 1/2; 3; 4; 5; 6; 7/8; 9; 10; 11;  2008-2009. № 12/1.";
;;"Культпоход. 2009. № 2; 3; 4; 5; 6. ";
;;Культпоход. 2009. № 12 / 2010. № 1. ;
;;Культпоход. 2009. № 7/8, 9, 10, 11, 12 / 2010.№ 1.;
;;"Культпоход. 2010. № 2; 3; 4; 5; 6; 7/8; 9.";
;;Кульработа в РККА. 1937. № 1-6, 9-11.;
;;"Кульработа в РККА. 1936. № 1-6; 7-12.";
;;Культура и быт. 1930. №  15/16, 1931. № 31/32.;
6670;43;"Культура и время. 2007. № 1; 2; 3.";Григорьева Ю.И., Рейтблат А.И.
;;"Культура и время. 2008. № 1; 2; 3; 4.";04.07.2023
;;"Культура и время. 2009. № 1; 2; 3; 4.";
;;"Культура и время. 2010. № 1; 2; 3; 4.";
;;"Культура и время. 2011. № 1; 2; 3; 4.";
;;"Культура и время. 2012. № 1; 2; 3; 4.";
;;"Культура и время. 2013. № 2; 3; 4.";
;;"Культура и время. 2014. № 1; 2; 3/4.";
;;"Культура и время. 2015. № 1; 2; 3/4; 5.";
;;"Культура и время. 2016. № 1; 2; 3.";
;;Культура и время. 2017. № 1/2.;
;;Культура и время. 2019. № 1/2.;
;;"Культура и жизнь. 1957. № 2, 5, 6; 7-12.";
;;"Культура и жизнь. 1958. № 1-4; 5-8; 9-12.";
6671;29;"Культура и жизнь. 1959. № 1-4; 5-8; 9-12.";Григорьева Ю.И., Рейтблат А.И.
;;"Культура и жизнь. 1960. № 1-4; 5-8; 9-12.";04.07.2023
;;"Культура и жизнь. 1961. № 1-3; 4-6; 7-9; 10-12";
;;"Культура и жизнь. 1962. № 1-6; 7-9; 10-12.";
;;"Культура и жизнь. 1963. № 1-3; 4-6; 7-9; 8-12.";
;;"Культура и жизнь. 1964. № 1-3; 4-6; 7-9; 10-12.";
;;"Культура и жизнь. 1965. № 1-6; 7-12.";
;;"Культура и жизнь. 1966. № 1-6; 7-12.";
;;"Культура и жизнь. 1967. № 1-6; 7-12.";
;;"Культура и жизнь. 1968. № 1-6; 7-12.";
6672;23;"Культура и жизнь. 1969. № 1-6; 7-12.";Григорьева Ю.И., Рейтблат А.И.
;;"Культура и жизнь. 1970. № 1-6; 7-12.";04.07.2023
;;"Культура и жизнь. 1971. № 1-6; 7-12.";
;;"Культура и жизнь. 1972. № 1-6; 7-12.";
;;"Культура и жизнь. 1973. № 1-6; 7-12.";
;;"Культура и жизнь. 1974. № 1-6; 7-12.";
;;"Культура и жизнь. 1975. № 1-6; 7-12.";
;;"Культура и жизнь. 1976. № 1-6; 7-12.";
;;"Культура и жизнь. 1977. № 1-6; 7-12.";
;;"Культура и жизнь. 1978. № 1-6; 7-12.";
;;Культура и жизнь. 1979. № 7-11.;
;;"Культура и жизнь. 1980. № 1-6; 7-12.";
6673;57;Культура и жизнь. 1981. № 1-6, 7-12;Путрова Т.В.
;;Культура и жизнь. 1982. № 1-6, 7-12;Прудникова С. В.
;;Культура и жизнь. 1983. № 1-6, 7-12;
;;Культура и жизнь. 1984. № 1-6, 7-12;04.07.2023
;;Культура и жизнь. 1985. № 1-6, 7-12;
;;Культура и жизнь. 1986. № 1-6, 7-12;
;;Культура и жизнь. 1987 № 1,2,3,4,5,6,7,8,10, 12;
;;Культура и жизнь. 1988 № 1-6, 7-12;
;;Культура и жизнь. 1989. № 1-6, 7-12;
;;Культура и жизнь. 1989 № 1,2,3,4,5,6,7,8,9,10,11,12;
;;Культура и жизнь. 1989 № 1-6, 7-12;
;;Культура и жизнь. № 2-6, 7-9, 10-12;
;;Культура и жизнь. № 2,3,4,5,6,7,8,9,10,11,12;
;;Культура и жизнь. 1991 № 1;
;;Культура и жизнь. 1993 № 1;
;;Культура и жизнь. 1993 № 1;
6674;49;Культура и наука Дальнего Востока. 2019. № 1(26);Путрова Т.В.
;;Культура и наука Дальнего Востока. 2021 № 1(30);Прудникова С. В.
;;Культура и наука Дальнего Востока. 2021 № 3 (31);
;;Культура и наука Дальнего Востока. 2022 № 1(32);04.07.2023
;;Культура и образование 2016. 3 (22), 4 (23);
;;Культура и образование 2017, 1(24),2(25), 4(27);
;;Культура и образование 2018 3(30), 4(31);
;;Культура и образование 2019 1(32), 4(35);
;;Культура и образование 2020 1(36) 2(37), 3(38), 4(39);
;;Культура и образование 2021 1(40), 2(4), 3(42) ,4(43);
;;Культура и образование 2022 1(44), 2(45). 3(46), 4(47);
;; Культура и отдых 1928 №5;
;;Культура и свобода 1993 1-2, 3-4;
;;Культура и цивилизация 2017, Т.7 № 1А, 3А, 4А, 5А, 6А;
;;Культура и цивилизация 2018 Т.8 № 1А, 2А, 3А, 4А. 5А, 6А;
;;Культура и цивилизация 2019 Т.9 № 1А, 2А, 3А, 4А, 5А, 6А;
6675;53;Арт 2021 № 4;Путрова Т.В.
;;Искусствознание 2015 №1/2;Прудникова С. В.
;;Культура и цивилизация 2020 Т.10 № 1А, 2А, 3А, 4А, 5А, 6А;
;;Культура и цивилизация 2021 Т 11 № 1А, 2А, 3А, 4А, 5А, 6А;04.07.2023
;;Культура. Наука, Образование 2020 № 2 (55);
;;Культура. Наука, Образование 2021 № 2 (59), 3(60), 4(61);
;;Культура. Наука, Образование 2022 № 1(61), 2(63), 3(64), 4(65);
;;Культура Петербурга 2001, № 1;
;;Культура театра 1921 № 1-8;
;;Культура театра 1922 № 1-2;
;;Культура театра 1922 № 1-2;
;;Культура театра 1922 № 1-2;
;;Культура: управление, экономика, право 2005 № 4;
;;Культура: управление, экономика, право, 2008 № 1, № 4;
;;Культура Урала 2016 № 7, 8, 9, 10;
;;Культура Урала 2017 № 1, 2, 3, 4, 5, 6, 7, 8, 9, 10;
;;Культура Урала 2018 № 1, 2,3, 4, 5, 6, 7, 8, 9, 10;
;;;
6676;71;Культура Урала 2019 № 1, 2,3, 4, 5, 6, 7, 8, 9, 10;Путрова Т.В.
;;Культура Урала 2020 № 1, 2,3, 4, 5, 6, 7, 8, 9, ;Прудникова С. В.
;;Культура Урала 2021 № 1, 2,3, 4, 5, 6, 7, 8, 9, 10;
;;Культура Урала 2022, № 1, 2,3, 4, 5, 6, 7, 8, 9, 10;04.07.2023
;;Культура Урала 2023, № 1, 2,3, 4;
;;Культурная жизнь Юга России 2011 № 3, 4;
;;Культурная жизнь Юга России 2012 № 1, 2, 3, 4;
;;Культурная жизнь Юга России 2013 № 2, 3, 4;
;;Культурная жизнь Юга России 2014 № 1, 2, 3, 4;
;;Культурная жизнь Юга России 2015 № 1, 2, 3,;
;;Культурная жизнь Юга России 2016 № 1, 2, 3, 4;
;;Культурная жизнь Юга России 2017 № 1, 2, 3, 4;
;;Культурная жизнь Юга России 2018 № 1, 2;
;;Культурная жизнь Юга России 2022 № 4, ;
;;Культурная жизнь Юга России 2023 № 1, ;
;;;
6694;57;"Культурная жизнь Юга России 2018 № 3;";Григорьева Ю. И.
;;"Культурная жизнь Юга России 2019 № 1, 2, 3, 4;";Комарова Н. Ю.
;;"Культурная жизнь Юга России 2021 № 2, 3, 4;";06.07.2023
;;"Культурная жизнь Юга России 2022 № 1, 2, 3;";
;;"Культурная работа профсоюзов 1938 № 1-6; № 7-10; № 11-13; № 14-16;";
;;"Культурная революция 1931 № 33;";
;;"Культурное наследие России 2016 № 4;";
;;"Культурное наследие России 2017 № 1, 2, 3, 4;";
;;"Культурное наследие России 2018 № 1, 2, 3, 4;";
;;"Культурное наследие России 2019 № 1, 2, 3, 4/5;";
;;"Культурное наследие России 2020 № 1, 2, 3, 4;";
;;"Культурное наследие России 2021 № 1, 2, 3, 4;";
;;"Культурное наследие России 2022 № 1, 2;";
;;"Культурное наследие Сибири 2017 № 3, 4, 5, 6;";
;;"Культурное наследие Сибири 2018 № 1, 2;";
;;"Культурное наследие Сибири 2019 № 1, 2; ";
;;"Культурное наследие Сибири 2021 № 2;";
;;"Культурное наследие Сибири 2022 № 1, 2, 3, 4;";
;;"Культурное наследие Сибири 2023 № 1;";
;;"Культурно-просветительная работа 1946 № 1-6; 7-12;";
;;"Культурно-просветительная работа 1948 № 1-6; 7-12";
6695;20;"Культурно-просветительная работа 1948 № 1-6 (2й экз.); ";Григорьева Ю. И.
;;"Культурно-просветительная работа 1947 № 7-12;";Комарова Н. Ю.
;;"Культурно-просветительная работа 1949 № 1-6; 7-12;";06.07.2023
;;"Культурно-просветительная работа 1950 № 1-6; 7-12; ";
;;"Культурно-просветительная работа 1951 № 1-6; 7-12; ";
;;"Культурно-просветительная работа 1952 № 1-6; 7-12; ";
;;"Культурно-просветительная работа 1953 № 1-6; 7-12; ";
;;"Культурно-просветительная работа 1954 № 1-6; 7-12; ";
;;"Культурно-просветительная работа 1955 № 1-6; 7-9, 11-12; ";
;;"Культурно-просветительная работа 1957 № 1-6; 7-12; ";
;;"Культурно-просветительная работа 1958 № 1-6; 7-12";
6696;19;"Культурно-просветительная работа 1959 № 1-6; 7-12;";Григорьева Ю. И.
;;"Культурно-просветительная работа 1960 № 1-6; 7-12;";Комарова Н. Ю.
;;"Культурно-просветительная работа 1961 № 1-6; 7-12;";06.07.2023
;;"Культурно-просветительная работа 1962 № 1-6; 7-12;";
;;"Культурно-просветительная работа 1963 № 1-6; 7-12;";
;;"Культурно-просветительная работа 1964 № 1-6; 7-12;";
;;"Культурно-просветительная работа 1965 № 1-6; 7-12;";
;;"Культурно-просветительная работа 1966 № 1, 3-6; 7-12; 7-9, 11-12;";
;;"Культурно-просветительная работа 1967 № 1-6; 7-12";
6697;25;"Культурно-просветительная работа 1968 № 1-6; 7-12;";Григорьева Ю. И.
;;"Культурно-просветительная работа 1969 № 1-6; 7-12;";Комарова Н. Ю.
;;"Культурно-просветительная работа 1970 № 1-6; 7-12;";06.07.2023
;;Культурно-просветительная работа 1971;
;;"№ 1-6; 7-12; ";
;;Культурно-просветительная работа 1972;
;;"№ 1-6; 7-12; ";
;;Культурно-просветительная работа 1973;
;;"№ 1-6; 7-12; ";
;;Культурно-просветительная работа 1974;
;;"№ 1-5; 7-12; ";
;;Культурно-просветительная работа 1975;
;;"№ 1-5; 7-12; №9;";
;;Культурно-просветительная работа 1976;
;;"№ 1-6; 7-12; ";
;;Культурно-просветительная работа 1977;
;;"№ 1-6; 7-12; ";
;;Культурно-просветительная работа 1978;
;;"№ 1-6; 7-12; ";
;;Культурно-просветительная работа 1979;
;;"№ 1-6; 7-12";
6698;20;Культурно-просветительная работа 1980;
;;"№ 1-6; 7-12;";
;;Культурно-просветительная работа 1981;
;;"№ 1-6; 7-12;";
;;Культурно-просветительная работа 1982;
;;"№ 1-6; 7-12;";
;;Культурно-просветительная работа 1983;
;;"№ 1-6; 7-12;";
;;Культурно-просветительная работа 1984;
;;"№ 1-6; 7-12;";
;;Культурно-просветительная работа 1985;
;;"№ 1-6; 7-12;";
;;Культурно-просветительная работа 1986;
;;"№ 1-6; 7-12;";
;;Культурно-просветительная работа 1987;
;;"№ 1-6; 7-12;";
;;Культурно-просветительная работа 1988;
;;"№ 1-6; 7-12;";
;;Культурно-просветительная работа 1989;
;;"№ 1, 3-6; 7-12";
6699;25;Культурно-просветительная работа 1991;
;;"№ 1-6; 7-12;";
;;Культурно-просветительная работа 1993;
;;"№ 1-12;";
;;Культурно-просветительная работа 1994;
;;"№ 1-6; 7-12;";
;;Культурно-просветительная работа 1996;
;;"№ 1-12;";
;;"Культурно-просветительная работа. Встреча 1990 № 1-6; 7-12;";
;;"Культурно-просветительная работа. Встреча 1992 № 1-4; ";
;;"Культурно-просветительная работа. Встреча 1995 № 1-6; 7, 9-12;";
;;"Культурно-просветительная работа. Встреча 1997 № 1-6; 7-12;";
;;"Культурно-просветительная работа. Встреча 1998 № 1-6; 7-12;";
;;"Культурно-просветительная работа. Встреча 1999 № 1-6; 7-12;";
;;"Культурно-просветительная работа. Встреча 2000 № 1-6; 7-12;";
;;"Культурно-просветительная работа. Встреча 2001 № 1-6; 7-12;";
;;"Культурно-просветительная работа. Встреча 2002 № 1-6; 7-12;";
;;"Культурно-просветительная работа. Встреча 2003 № 1-6; 7-12";
6700;54;"Культурно-просветительная работа. Встреча 2004 № 1-6; 7-12";Евдокимова Л.В.
;;"Культурно-просветительная работа. Встреча 2005 № 1-6; 7-12";
;;"Культурно-просветительная работа. Встреча 2006 № 1-6; 7-12";
;;"Культурно-просветительная работа. Встреча 2007 № 1-6; 7-12";
;;"Культурно-просветительная работа. Встреча 2008 № 1-6; ";
;;Культурный код 2019 №2;
;;Культурный код 2020 №1,4;
;;Культурный код 2021 №2,3,4;
;;Культурный код 2022 №1,3,4;
;;Культурный код 2023 №1;
;;Культурный фронт  1927 №14;
;;Культурный фронт  1928 №19;
;;Культурный фронт  1929 №23/24;
;;Культуры 1982 №1/2;
;;Культуры 1983 №1,2,3;
;;Культуры 1984 №1,2,3,4;
;;Культуры 1985 №1,2,3,4;
;;Культуры 1986 №1,2,3,4;
;;Культурологические исследования в Сибири 2008 №1;
;;Кунсткамера 1993 Вып 1;
;;Кунсткамера 1994 Вып 5/6,5/6, 5/6;
;;Кунсткамера 1995 Вып 7,7,8/9, 8/9;
;;Кунсткамера 1996 Вып 10;
;;Кунсткамера 1997 Вып 11;
;;Кунсткамера 1998 Вып 12;
;;Кунсткамера 2003 Вып 13;
;;Кунсткамера 1920 №1, 2, 3, 4;
;;;
6701;96;Кунсткамера 1921 №1, 2, 3,4,1,2,3,4;Евдокимова Л.В.
;;Лавка коллекционера 2016 №1;
;;Лавры кино 2013 №5;
;;Лавры кино 2014 №12, 13,14,16,18;
;;Лавры кино 2015 №21,22,23,24,25;
;;Лавры кино 2016 №28,29,35,37,30;
;;Лавры кино 2017 №47/48;
;;Лавры кино 2017 №43/44/45/46;
;;Лавры кино 2018 №49/50;
;;Ландшафтная архитектура и дизайн  2003 №1,2,3;
;;Ландшафтная архитектура и дизайн  2004 №2,3,4;
;;Ландшафтная архитектура и дизайн  2005 №1,2,3,4;
;;Ландшафтная архитектура и дизайн  2006 №1,2,3,4;
;;Ландшафтная архитектура и дизайн  2007 №1,2,3,4;
;;Ландшафтная архитектура и дизайн  2008 №1,2,3,4;
;;Ландшафтная архитектура и дизайн  2009 №1,2,3,4;
;;Ландшафтная архитектура и дизайн  2010 №1,2,3;
;;Ландшафтная архитектура и дизайн  2011 №1,2,3;
;;Ландшафтная архитектура и дизайн  2012 №1;
;;Ландшафтная архитектура и дизайн  2013 №1;
;;Ландшафтный дизайн 2002 №1,2,3,4,5,6;
;;Ландшафтный дизайн 2003 №1,2,3,4,5,6;
;;Ландшафтный дизайн 2004 №1,2,3,4,5,6;
;;Ландшафтный дизайн 2005 №1,2,3,4,5,6;
;;Ландшафтный дизайн 2006 №1,2,3,4,5,6;
;;Ландшафтный дизайн 2007 №1,2,3,4;
;;;
6702;86;Ландшафтный дизайн 2007 №5,6;Евдокимова Л.В.
;;Ландшафтный дизайн 2008 №1,2,3,4,5,6;
;;Ландшафтный дизайн 2009 №1,2,3,4,5,6;
;;Ландшафтный дизайн 2010 №1,2,3,4,5,6;
;;Ландшафтный дизайн 2011 №1,2,3,4,5,6;
;;Ландшафтный дизайн 2012 №1,2,3,4,5,6;
;;Ландшафтный дизайн 2013 №1,2,3,4,5;
;;Ландшафтный дизайн 2014 №1,2,3,4,5,6;
;;Ландшафтный дизайн 2015 №1,2,3,4,5,6;
;;Ландшафтный дизайн 2016 №1,2,3,4,5,6;
;;Ландшафтный дизайн 2017 №1,2,3,4,5,6;
;;Ландшафтный дизайн 2018 №1,2,3,4,5,6;
;;Ландшафтный дизайн 2019 №1,2,3,4,5,6;
;;Ленинград 1924 №1-9;
;;Ленинград 1925 №1-12;
;;Ленинград 1924 №2-7-12;
;;Ленинград 1940 №1-24;
;;Ленинград 1941 №1-12;
;;Ленинград 1944 №1-14;
;;Ленинград 1945 №6-12;
;;Ленинград 1945 №4-5;
;;Ленинград 1945 №6;
;;Ленинград 1946 №1-11;
;;Лапоть 1931 №2-11-12-19-21-24;
;;Летопись войны 1914 №8;
;;Летопись войны 1914/1915 №20-40;
;;;
6703;49;Летопись войны 1915 №3-25,52;Евдокимова Л.В.
;;Летопись войны 1915 №25-36;
;;Летопись войны 1915 №56-60;
;;Летопись войны 1915 №61-70;
;;Летопись войны 1916 №74-77;
;;Летопись войны 1916 №109-120;
;;Летопись войны с Японией 1904 №1-10;
;;Летопись войны с Японией 1904 №1-24;
;;Летопись войны с Японией 1904 №25-48;
;;Летопись войны с Японией 1905 №49-72;
;;Летопись войны с Японией 1905 №73-84;
;;Линия Балет 1999, декабрь;
;;Линия Балет 2000 № 2-12,11,10,5;
;;Линия Балет 2001 № 1-12;
;;Линия Балет 2002 № 1-10;
;;Линия Балет 2003 № 1-10;
;;Линия Балет 2004 № 1-18,10;
;;Линия Балет 2005 № 1-10,9;
;;Линия Балет 2006 № 1-10;
;;Линия Балет 2007 № 1-10,10,6;
;;Линия Балет 2008 № 1-7, 10-11,11;
;;Линия Балет 2009 № 1-10;
;;Линия Балет 2010 № 1-10;
;;Линия Балет 2011 № 1-10,1;
;;Линия Балет 2012 № 1-10,10;
;;Линия Балет 2013 № 1-10;
;;Линия Балет 2014 № 1/2-10, 7;
;;Линия Балет 2015 № 1-10;
;;Линия Балет 2016 № 1-10;
;;Линия Балет 2017 № 1/2-10;
;;Линия Опера 2002 №1 ;
;;Линия Опера 2001 сент-окт, май-июнь (2), март,;
;;;
6704;27;Литературное обозрение 1973 №1-6;Евдокимова Л.В.
;;Литературное обозрение 1973 №7-12;
;;Литературное обозрение 1974 №1-6;
;;Литературное обозрение 1974 №7-12;
;;Литературное обозрение 1975 №1-6;
;;Литературное обозрение 1975 №7-12;
;;Литературное обозрение 1976 №8-12;
;;Литературное обозрение 1976 №1-6;
;;Литературное обозрение 1977 №1-6;
;;Литературное обозрение 1977 №7-12;
;;Литературное обозрение 1978 1-6;
;;Литературное обозрение 1978 №7-12;
;;Литературное обозрение 1979 №1-3,5;
;;Литературное обозрение 1979 №4;
;;Литературное обозрение 1979 №9;
;;Литературное обозрение 1979 №6-8,10-12;
;;Литературное обозрение 1980 №1-6;
;;Литературное обозрение 1980 №7-12;
;;Литературное обозрение 1982 №7-12;
;;Литературная учеба 1991 №6,5,4,3,2,1;
;;Листки курсов ритмической гимнастики 1914 №6;
;;Листки курсов ритмической гимнастики 1913 №1-2;
6705;125;Литературное обозрение 1982 №1-6;Евдокимова Л.В.
;;Литературное обозрение 1981 №9-12;
;;Литературное обозрение 1981 №8;
;;Литературное обозрение 1981 №2-7;
;;Литературное обозрение 1981 №1;
;;Литературное обозрение 1984 №1-6;
;;Литературное обозрение 1983 №7-12;
;;Литературное обозрение 1983 №1-6;
;;Литературное обозрение 1984 №7-12;
;;Литературное обозрение 1985 №1-6;
;;Литературное обозрение 1985 №7-12;
;;Литературное обозрение 1986 №1-6;
;;Литературное обозрение 1986 №7-12;
;;Литературное обозрение 1986 №1-6;
;;Литературное обозрение 1982 №7-12;
;;Литературное обозрение 1989 №7;
;;Литературное обозрение 1988 №6;
;;Литературное обозрение 1993 №1-6;
;;Литературное обозрение 1993 №7-12;
;;Литературное обозрение 1994 №1-6;
;;Литературное обозрение 1994 №7-12;
;;Литературное обозрение 1995 №1-3;
;;Литературное обозрение 1995 №4-5;
;;Литературное обозрение 1996 №1-3;
;;Литературное обозрение 1996 №4-6;
;;Литературное обозрение 1997 №1,2,3,4,5,6;
;;Литературное обозрение 1998 №1,2,3,4/5,;
;;Литературное обозрение 1999 №1,2,3,4;
;;Ленинград 1946 №3-4;
6706;81;Литературные вечера 1907 №5;Евдокимова Л.В.
;;Литературные записки 1922 №1-3;
;;Литературный журнал 1992 А;
;;Литературный журнал  2005 №1-2, 3-4;
;;Литературный журнал  2006 №1-2, 3-4,5-6,7-8,9-10,11-12;
;;Литературный мix 2007 № 4,12;
;;Литературный мix 2008 № 3,7;
;;Литературный мix 2010 № 1;
;;Литературный мix 2012 № 1;
;;Литературные знакомства 2021 №8;
;;Литературные знакомства 2022 №2,3,4,5,6,7,8,11,12;
;;Литературные знакомства 2023 №1,2,3,4;
;;Литературный факт 2016 №1-2;
;;Литературный факт 2021 №2,4;
;;Литературный факт 2022 №1,2;
;;Литературный факт 2023 №1;
;;Лица 2022 №8,12;
;;Лица 2023 №1/2,3,4;
;;Личности 2013 № 6,7,8,9,10;
;;Личности и культура 2016 №6;
;;Личности и культура 2018 №3,4;
;;Личности и культура 2019 №3;
;;Личности и культура 2020 №1,2,3,4,5,6;
;;Личности и культура 2021 №1,2;
;;Личности и культура 2022 №1,2,3,4,5,6;
;;Личности и культура 2023 №1,2;
;;Личность культура общество 2007 1,2,3,4;
;;Личность культура общество 2008 1,2,3/4, 5/6;
;;Личность культура общество 2009 1,2,3,4;
6715;68;Аукционер 2005 №1;Евдокимова Л.В.,
;;Дом Бурганова 2022 №1;Титунова И.Б.
;;Горный журнал 2010 спецвыпуск;
;;Золотая палитра 2023 №1;
;;Кинорепортер 2019 Вып май, июнь;
;;Личность культура общество 2010 1,2,3,4;
;;Личность культура общество 2011 1,2,3,4;
;;Личность культура общество 2012 1,2,3,4;
;;Личность культура общество 2013 2,3/4;
;;Личность культура общество 2015 1/2,3/4;
;;Личность культура общество 2016 1/2,3/4;
;;Личность культура общество 2017 1/2,3/4;
;;Личность культура общество 2018 1/2,3/4;
;;Личность культура общество 2019 1/2,3/4;
;;Личность культура общество 2020 1/2,3/4;
;;Личность культура общество 2021 1/2,3,4;
;;Личность культура общество 2022 1,3/4;
;;Киноведческие записки 1988 №2;
;;Киноведческие записки 1989 №3;
;;Кинема 2021 №2;
;;Киевский театрал 1906/07 №1-12;
;;Логос Филос.1999 № 1,2,3,4,5,6;
;;Логос Филос.2021 №5,6,1;
;;Логос Филос.2022 №1,4,5,6;
;;Логос 2000 №2,3;
;;Логос 2005 №1;
;;Логос 2022 №1;
;;Любовь к трем апельсинам 1914  №1,2,3,4-5, 6-7, 4-5-6-7, 1-3;
;;Любовь к трем апельсинам 1915  №1, 1-2-3, 4-5,6-7;
;;Любовь к трем апельсинам 1916  №1;
6716;92;Любовь к трем апельсинам 1914 №1-7,  ;Евдокимова Л.В.,
;;Любовь к трем апельсинам 1915  № 1-2-3, 1-2-3, 4-7;Титунова И.Б.
;;Любовь к трем апельсинам 1916  №2-3,2-3, 2-3, 1;
;;Луч 1981 №3-42-44-52;
;;Магазин 1997 №2,10,11,12,16,17,18,19,21,22,23,24,;
;;25,27,28,29,30;
;;Магазин 1998 №31,32,33,34,;
;;Магазин 1999 №37,38,39;
;;Магазин 2000 №40,41,42,43,44;
;;Магазин 2001 №45,46,47,48;
;;Магазин 2002 №49;
;;Малые формы клубного зрелища 1929 №11,10,9,8,7,6,5,4,3,2;
;;Малые формы клубного зрелища 1929№1-12;
;;Малые формы клубного зрелища 1928 №11,11,11;
;;Малые формы клубного зрелища 1930 №13-24;
;;Малые формы клубного зрелища 1930 №23-24,21-22,20,18-19,17,16,14,13,12;
;;Маляр 1876 №23-33-36-48-46-48;
;;Маляр 1875 №1-35-37-40-42-50;
;;Маляр 1872 №1-6-8-39-41-50;
;;Манускрипт 2018 №5,6,7,8,3,9,11,12,12;
;;Манускрипт 2019 №11,11,12,10,10,8,7,6,5,4,3,2,1;
6717;48;Манускрипт 2020 №1,2,3,4,5,6,7,8,9,10,10,11,12;Евдокимова Л.В.,
;;Манускрипт 2021 №2,12,11,10,10,9,8,7,6,5,4,3;Титунова И.Б.
;;Маски 1912 №3, 1-4,1,2;
;;Маски 1912-1913 №5,6,4-5,6,4;
;;Маски 1914 -1915 №1,1;
;;Маски 1913 -1914 №7-8,1-3,4-6,2,1,4,7-8,3,5;
;;Маски современной культуры 2000 2,3;
;;Марксистско- ленинское искусствознание 1932 №4,3,2,1;
;;Мастера 1994 №1;
6718;72;Мастерство театра1922 №1,1;Евдокимова Л.В.,
;;Мастерство театра1923 №2,2;Титунова И.Б.
;;Материалы для клубной сцены 1929 №7-8,1-12,7-8,6,5,2,1;
;;Материалы для клубной сцены 1928 №1-2;
;;Матадор 1997 №6,5,4,3,2,1;
;;Мебель от А до Я 1997 №4,,3,1-2;
;;Мебель от А до Я 1996 ноябрь-декабрь;
;;Мебель от А до Я 1998 №10,9,8,7,5;
;;Мебель от А до Я 1999 №14,15,13,12;
;;Мебель от А до Я  2000 №20,19,18,17,16;
;;Мебель от А до Я 2001 №21,22;
;;Медиатека  2010 №1-4,1-4;
;;Медиатека 2009 №1-4;
;;Медиатека 2007 №1-3;
;;Медиатека 2006 №1-4;
;;Медиатека и мир 2015 № 4,3,2,1;
;;Медиатека и мир 2014 № 4,3,2,1;
;;Медиатека и мир 2013 № 4,3,2;
;;Медиатека и мир 2012 № 3,2,1,;
;;Медиатека и мир 2011 № 4,4,2,1;
;;Мелодия 1979 №1;
;;Мелодия 1980 №1/3;
;;Мелодия 1981 №1-4;
;;Мелодия 1983 №1-4;
;;Мелодия 1982 №1-4;
;;Мелодия 1984 №1-4;
;;Мелодия 1985 №2-4;
;;Мелодия 1986 №1-4;
;;Мелодия 1987 №1-4;
;;Мелодия 1988 №1-4;
;;Мелодия 1989 №1-4;
6719;96;Мелодия 1994 №1-6/7;Евдокимова Л.В.,
;;Мелодия 1998 №1-2,3;Титунова И.Б.
;;Мелодия 1997 №7-8;
;;Мелодия 1993 №1-2;
;;Мелодия 1996 №1-7/8;
;;Мелодия 1995 №1-6/7;
;;Мелодия 1997 №3/4;
;;Мелодия 1991 №1-2;
;;Мелодия 1999 №4/5,3,1/5,1/2;
;;Мелодия 2000 №6,4/5,3,2,1,;
;;Мелодия 2001 №6,4/5,3,1/2,;
;;Мелодия 2002 №6,4/5,3,1-2;
;;Мелодия 2003 №6,4/5,,3,1/2,;
;;Мелодия 2004 №5/6,3,1/2;
;;Мелодия 2005 №1-6;
;;Методические материалы и рекомендации 1962 № 16-24,16-24;
;;Меценат  и мир 1996 №2/1997 №1 (2 экз);
;;Меценат  и мир 1996 №2-3 (2 экз), 1;
;;Меценат  и мир 1997/98 №6-7;
;;Меценат  и мир 2000 №11-13;
;;Мир детского театра 1999 №0;
